id,title,slug,poster_url,director,country,year,film_type,plot,genres,poster_url,combined_features
31,Trà Xanh Đào,tra-xanh-dao,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9bGG9CYO9ecTNdqf1A00f4Sv77mAheGUHIUD74eVNwoMbWaidd2xT6avWsjKMe9w-uE0&usqp=CAU,Dinhtea - Trà Sữa,Việt Nam,2025,Trà,"Trà xanh hương đào thơm mát Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678.",Trà,http://localhost:5173/images/foods/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9bGG9CYO9ecTNdqf1A00f4Sv77mAheGUHIUD74eVNwoMbWaidd2xT6avWsjKMe9w-uE0&usqp=CAU,"Trà Xanh Đào Trà xanh hương đào thơm mát Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678. Trà Dinhtea - Trà Sữa Việt Nam Trà"
32,Trà Dâu,tra-dau,https://cdn2.fptshop.com.vn/unsafe/1920x0/filters:format(webp):quality(75)/2023_10_19_638333136830369737_tra-dau-tam-thumb.jpg,Dinhtea - Trà Sữa,Việt Nam,2025,Trà,"Trà dâu tây tươi mát Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678.",Trà,http://localhost:5173/images/foods/https://cdn2.fptshop.com.vn/unsafe/1920x0/filters:format(webp):quality(75)/2023_10_19_638333136830369737_tra-dau-tam-thumb.jpg,"Trà Dâu Trà dâu tây tươi mát Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678. Trà Dinhtea - Trà Sữa Việt Nam Trà"
33,Matcha Đá Xay,matcha-da-xay,https://cdn.tgdd.vn/Files/2022/03/16/1420535/cach-lam-matcha-da-xay-kem-ngon-beo-ngay-don-gian-tai-nha-202203160109187743.jpg,Gong Cha,Việt Nam,2025,Trà sữa,"Matcha Nhật đá xay mát lạnh Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789.",Trà sữa,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2022/03/16/1420535/cach-lam-matcha-da-xay-kem-ngon-beo-ngay-don-gian-tai-nha-202203160109187743.jpg,"Matcha Đá Xay Matcha Nhật đá xay mát lạnh Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789. Trà sữa Gong Cha Việt Nam Trà sữa"
34,Socola Đá Xay,socola-da-xay,https://noithatcaphe.vn/images/2022/07/15/socola-da-xay-1.jpg,Gong Cha,Việt Nam,2025,Trà sữa,"Socola đá xay béo ngậy Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789.",Trà sữa,http://localhost:5173/images/foods/https://noithatcaphe.vn/images/2022/07/15/socola-da-xay-1.jpg,"Socola Đá Xay Socola đá xay béo ngậy Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789. Trà sữa Gong Cha Việt Nam Trà sữa"
35,Trà Sữa Trân Châu,tra-sua-tran-chau,https://cdn.tgdd.vn/Files/2022/01/21/1412109/huong-dan-cach-lam-tra-sua-tran-chau-duong-den-202201211537260116.jpg,Gong Cha,Việt Nam,2025,Trà sữa,"Trà sữa trân châu đen dẻo dai Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789.",Trà sữa,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2022/01/21/1412109/huong-dan-cach-lam-tra-sua-tran-chau-duong-den-202201211537260116.jpg,"Trà Sữa Trân Châu Trà sữa trân châu đen dẻo dai Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789. Trà sữa Gong Cha Việt Nam Trà sữa"
36,Ô Long Sữa,o-long-sua,https://cdn.tgdd.vn/Files/2021/08/10/1374160/hoc-cach-pha-tra-sua-o-long-dai-loan-thom-ngon-chuan-vi-ai-cung-me-202108100039248020.jpg,Gong Cha,Việt Nam,2025,Trà sữa,"Trà ô long sữa đài loan Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789.",Trà sữa,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2021/08/10/1374160/hoc-cach-pha-tra-sua-o-long-dai-loan-thom-ngon-chuan-vi-ai-cung-me-202108100039248020.jpg,"Ô Long Sữa Trà ô long sữa đài loan Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789. Trà sữa Gong Cha Việt Nam Trà sữa"
37,Trà Sữa Alisan,tra-sua-alisan,https://cdn.tgdd.vn/Files/2021/08/10/1374160/hoc-2-cach-pha-tra-sua-truyen-thong-thom-ngon-chuan-vi-ai-cung-me-202203031716377004.jpg,Gong Cha,Việt Nam,2025,Trà sữa,"Trà sữa cao cấp từ Đài Loan Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789.",Trà sữa,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2021/08/10/1374160/hoc-2-cach-pha-tra-sua-truyen-thong-thom-ngon-chuan-vi-ai-cung-me-202203031716377004.jpg,"Trà Sữa Alisan Trà sữa cao cấp từ Đài Loan Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789. Trà sữa Gong Cha Việt Nam Trà sữa"
38,Sữa Tươi Trân Châu Đường Đen,sua-tuoi-tran-chau-duong-den,https://cdn.tgdd.vn/Files/2022/01/21/1412109/huong-dan-cach-lam-tra-sua-tran-chau-duong-den-202201211537260116.jpg,Gong Cha,Việt Nam,2025,Sữa,"Sữa tươi với trân châu đường đen Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789.",Sữa,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2022/01/21/1412109/huong-dan-cach-lam-tra-sua-tran-chau-duong-den-202201211537260116.jpg,"Sữa Tươi Trân Châu Đường Đen Sữa tươi với trân châu đường đen Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789. Sữa Gong Cha Việt Nam Sữa"
39,Trà Ô Long Đào,tra-o-long-dao,https://phela.vn/wp-content/uploads/2024/07/Resize-AppFood-KV-OLongDaoHong-2-03-scaled.jpg,Gong Cha,Việt Nam,2025,Trà,"Trà ô long với đào tươi Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789.",Trà,http://localhost:5173/images/foods/https://phela.vn/wp-content/uploads/2024/07/Resize-AppFood-KV-OLongDaoHong-2-03-scaled.jpg,"Trà Ô Long Đào Trà ô long với đào tươi Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789. Trà Gong Cha Việt Nam Trà"
40,Trà Ô Long Vải,tra-o-long-vai,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTedKhMhInxUrejNjqkNWH8Yia417gPHGNGuQ&s,Gong Cha,Việt Nam,2025,Trà,"Trà ô long với vải thiều Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789.",Trà,http://localhost:5173/images/foods/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTedKhMhInxUrejNjqkNWH8Yia417gPHGNGuQ&s,"Trà Ô Long Vải Trà ô long với vải thiều Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789. Trà Gong Cha Việt Nam Trà"
41,Trà Chanh,tra-chanh,https://media.vov.vn/sites/default/files/styles/large/public/2024-10/uong_nuoc_chanh_qua_nhieu_1.jpg,Gong Cha,Việt Nam,2025,Trà,"Trà chanh tươi mát Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789.",Trà,http://localhost:5173/images/foods/https://media.vov.vn/sites/default/files/styles/large/public/2024-10/uong_nuoc_chanh_qua_nhieu_1.jpg,"Trà Chanh Trà chanh tươi mát Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789. Trà Gong Cha Việt Nam Trà"
42,Café Đường Đen,cafe-duong-den,https://cdn.tuoitre.vn/471584752817336320/2023/8/16/ca-phe-muoi-1692166818071338553380.png,Gong Cha,Việt Nam,2025,Cà phê,"Cafe với đường đen thơm nồng Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789.",Cà phê,http://localhost:5173/images/foods/https://cdn.tuoitre.vn/471584752817336320/2023/8/16/ca-phe-muoi-1692166818071338553380.png,"Café Đường Đen Cafe với đường đen thơm nồng Món này được phục vụ tại quán Gong Cha địa chỉ 78 Lê Duẩn, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905456789. Cà phê Gong Cha Việt Nam Cà phê"
43,Nước Ép Cam,nuoc-ep-cam,https://i.pinimg.com/736x/e1/2f/04/e12f04e59f41d77b623c621364198088.jpg,Nước Ép & Sinh Tố Sài Gòn,Việt Nam,2025,Nước ép & sinh tố,"Nước cam tươi vắt nguyên chất Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890.",Nước ép & sinh tố,http://localhost:5173/images/foods/https://i.pinimg.com/736x/e1/2f/04/e12f04e59f41d77b623c621364198088.jpg,"Nước Ép Cam Nước cam tươi vắt nguyên chất Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890. Nước ép & sinh tố Nước Ép & Sinh Tố Sài Gòn Việt Nam Nước ép & sinh tố"
44,Nước Ép Dưa Hấu,nuoc-ep-dua-hau,https://cdn.tgdd.vn/Files/2020/10/23/1301299/5-cach-lam-nuoc-ep-dua-hau-cuc-ngon-don-gian-tai-nha-202010231109233490.jpg,Nước Ép & Sinh Tố Sài Gòn,Việt Nam,2025,Nước ép & sinh tố,"Nước dưa hấu tươi mát Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890.",Nước ép & sinh tố,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2020/10/23/1301299/5-cach-lam-nuoc-ep-dua-hau-cuc-ngon-don-gian-tai-nha-202010231109233490.jpg,"Nước Ép Dưa Hấu Nước dưa hấu tươi mát Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890. Nước ép & sinh tố Nước Ép & Sinh Tố Sài Gòn Việt Nam Nước ép & sinh tố"
45,Nước Ép Cà Rốt,nuoc-ep-ca-rot,https://banhcuonnamviet.com/upload/product/epcarot-6565.jpg,Nước Ép & Sinh Tố Sài Gòn,Việt Nam,2025,Nước ép & sinh tố,"Nước cà rốt giàu vitamin A Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890.",Nước ép & sinh tố,http://localhost:5173/images/foods/https://banhcuonnamviet.com/upload/product/epcarot-6565.jpg,"Nước Ép Cà Rốt Nước cà rốt giàu vitamin A Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890. Nước ép & sinh tố Nước Ép & Sinh Tố Sài Gòn Việt Nam Nước ép & sinh tố"
46,Nước Ép Dứa,nuoc-ep-dua,https://login.medlatec.vn//ImagePath/images/20230420/20230420_Nuoc-ep-dua-co-chua-nhieu-vitamin-va-khoang-chat-.jpg,Nước Ép & Sinh Tố Sài Gòn,Việt Nam,2025,Nước ép & sinh tố,"Nước dứa thơm ngọt Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890.",Nước ép & sinh tố,http://localhost:5173/images/foods/https://login.medlatec.vn//ImagePath/images/20230420/20230420_Nuoc-ep-dua-co-chua-nhieu-vitamin-va-khoang-chat-.jpg,"Nước Ép Dứa Nước dứa thơm ngọt Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890. Nước ép & sinh tố Nước Ép & Sinh Tố Sài Gòn Việt Nam Nước ép & sinh tố"
47,Nước Chanh Tươi,nuoc-chanh-tuoi,https://media.vov.vn/sites/default/files/styles/large/public/2024-10/uong_nuoc_chanh_qua_nhieu_1.jpg,Nước Ép & Sinh Tố Sài Gòn,Việt Nam,2025,Nước ép & sinh tố,"Nước chanh vắt tươi giải khát Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890.",Nước ép & sinh tố,http://localhost:5173/images/foods/https://media.vov.vn/sites/default/files/styles/large/public/2024-10/uong_nuoc_chanh_qua_nhieu_1.jpg,"Nước Chanh Tươi Nước chanh vắt tươi giải khát Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890. Nước ép & sinh tố Nước Ép & Sinh Tố Sài Gòn Việt Nam Nước ép & sinh tố"
48,Nước Mía,nuoc-mia,https://img.mservice.com.vn/common/u/2e02fb5fe4f64fb55bc713540643c6f8eae702d101cea8c59afc49cfc505fc37/e728906a-01d6-4b2d-8f0a-ebe474d80d7fhxhq5e5k.jpeg,Nước Ép & Sinh Tố Sài Gòn,Việt Nam,2025,Nước ép & sinh tố,"Nước mía tươi ngọt thanh Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890.",Nước ép & sinh tố,http://localhost:5173/images/foods/https://img.mservice.com.vn/common/u/2e02fb5fe4f64fb55bc713540643c6f8eae702d101cea8c59afc49cfc505fc37/e728906a-01d6-4b2d-8f0a-ebe474d80d7fhxhq5e5k.jpeg,"Nước Mía Nước mía tươi ngọt thanh Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890. Nước ép & sinh tố Nước Ép & Sinh Tố Sài Gòn Việt Nam Nước ép & sinh tố"
49,Nước Dừa Tươi,nuoc-dua-tuoi,https://cdn.tgdd.vn/Files/2020/06/22/1264775/nuoc-dua-de-duoc-bao-lau-cach-bao-nuoc-dua-dung-202006221624116259.jpg,Nước Ép & Sinh Tố Sài Gòn,Việt Nam,2025,Nước ép & sinh tố,"Nước dừa tươi mát lạnh Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890.",Nước ép & sinh tố,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2020/06/22/1264775/nuoc-dua-de-duoc-bao-lau-cach-bao-nuoc-dua-dung-202006221624116259.jpg,"Nước Dừa Tươi Nước dừa tươi mát lạnh Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890. Nước ép & sinh tố Nước Ép & Sinh Tố Sài Gòn Việt Nam Nước ép & sinh tố"
50,Sinh Tố Bơ,sinh-to-bo,https://png.pngtree.com/png-clipart/20240308/original/pngtree-tasty-avocado-smoothie-in-glass-file-png-png-image_14536497.png,Nước Ép & Sinh Tố Sài Gòn,Việt Nam,2025,Nước ép & sinh tố,"Sinh tố bơ béo ngậy Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890.",Nước ép & sinh tố,http://localhost:5173/images/foods/https://png.pngtree.com/png-clipart/20240308/original/pngtree-tasty-avocado-smoothie-in-glass-file-png-png-image_14536497.png,"Sinh Tố Bơ Sinh tố bơ béo ngậy Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890. Nước ép & sinh tố Nước Ép & Sinh Tố Sài Gòn Việt Nam Nước ép & sinh tố"
51,Sinh Tố Dâu,sinh-to-dau,https://i0.wp.com/berryland.vn/wp-content/uploads/2024/04/Sinh-to-dau-tay.jpg,Nước Ép & Sinh Tố Sài Gòn,Việt Nam,2025,Nước ép & sinh tố,"Sinh tố dâu tây tươi Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890.",Nước ép & sinh tố,http://localhost:5173/images/foods/https://i0.wp.com/berryland.vn/wp-content/uploads/2024/04/Sinh-to-dau-tay.jpg,"Sinh Tố Dâu Sinh tố dâu tây tươi Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890. Nước ép & sinh tố Nước Ép & Sinh Tố Sài Gòn Việt Nam Nước ép & sinh tố"
52,Sinh Tố Xoài,sinh-to-xoai,https://tiki.vn/blog/wp-content/uploads/2023/03/cach-lam-sinh-to-xoai.jpg,Nước Ép & Sinh Tố Sài Gòn,Việt Nam,2025,Nước ép & sinh tố,"Sinh tố xoài chín ngọt Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890.",Nước ép & sinh tố,http://localhost:5173/images/foods/https://tiki.vn/blog/wp-content/uploads/2023/03/cach-lam-sinh-to-xoai.jpg,"Sinh Tố Xoài Sinh tố xoài chín ngọt Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890. Nước ép & sinh tố Nước Ép & Sinh Tố Sài Gòn Việt Nam Nước ép & sinh tố"
53,Sinh Tố Mãng Cầu,sinh-to-mang-cau,https://www.huongnghiepaau.com/wp-content/uploads/2019/08/sinh-to-mang-cau.jpg,Nước Ép & Sinh Tố Sài Gòn,Việt Nam,2025,Nước ép & sinh tố,"Sinh tố mãng cầu thơm ngon Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890.",Nước ép & sinh tố,http://localhost:5173/images/foods/https://www.huongnghiepaau.com/wp-content/uploads/2019/08/sinh-to-mang-cau.jpg,"Sinh Tố Mãng Cầu Sinh tố mãng cầu thơm ngon Món này được phục vụ tại quán Nước Ép & Sinh Tố Sài Gòn địa chỉ 123 Trần Kế Xương, Quận Cẩm Lệ, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905567890. Nước ép & sinh tố Nước Ép & Sinh Tố Sài Gòn Việt Nam Nước ép & sinh tố"
54,Cơm Tấm Sườn Bì Chả,com-tam-suon-bi-cha,https://tse4.mm.bing.net/th/id/OIP.zfwd7yctDpX0nki0A7XgNQHaEK?rs=1&pid=ImgDetMain,Cơm Tấm Bà Sáu,Việt Nam,2025,Cơm tấm,"Cơm tấm với sườn, bì, chả đầy đủ Món này được phục vụ tại quán Cơm Tấm Bà Sáu địa chỉ 89 Hoàng Văn Thụ, Quận Liên Chiểu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905678901.",Cơm tấm,http://localhost:5173/images/foods/https://tse4.mm.bing.net/th/id/OIP.zfwd7yctDpX0nki0A7XgNQHaEK?rs=1&pid=ImgDetMain,"Cơm Tấm Sườn Bì Chả Cơm tấm với sườn, bì, chả đầy đủ Món này được phục vụ tại quán Cơm Tấm Bà Sáu địa chỉ 89 Hoàng Văn Thụ, Quận Liên Chiểu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905678901. Cơm tấm Cơm Tấm Bà Sáu Việt Nam Cơm tấm"
55,Cơm Tấm Sườn Bì,com-tam-suon-bi,https://cdn.tgdd.vn/Files/2021/08/16/1375565/cach-nau-com-tam-suon-bi-cha-tai-nha-ngon-nhu-ngoai-tiem-202108162216045436.jpg,Cơm Tấm Bà Sáu,Việt Nam,2025,Cơm tấm,"Cơm tấm sườn bì thơm ngon Món này được phục vụ tại quán Cơm Tấm Bà Sáu địa chỉ 89 Hoàng Văn Thụ, Quận Liên Chiểu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905678901.",Cơm tấm,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2021/08/16/1375565/cach-nau-com-tam-suon-bi-cha-tai-nha-ngon-nhu-ngoai-tiem-202108162216045436.jpg,"Cơm Tấm Sườn Bì Cơm tấm sườn bì thơm ngon Món này được phục vụ tại quán Cơm Tấm Bà Sáu địa chỉ 89 Hoàng Văn Thụ, Quận Liên Chiểu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905678901. Cơm tấm Cơm Tấm Bà Sáu Việt Nam Cơm tấm"
56,Cơm Tấm Sườn Chả,com-tam-suon-cha,https://comtambason.com/wp-content/uploads/2020/12/Suon-cha.png,Cơm Tấm Bà Sáu,Việt Nam,2025,Cơm tấm,"Cơm tấm sườn chả đậm đà Món này được phục vụ tại quán Cơm Tấm Bà Sáu địa chỉ 89 Hoàng Văn Thụ, Quận Liên Chiểu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905678901.",Cơm tấm,http://localhost:5173/images/foods/https://comtambason.com/wp-content/uploads/2020/12/Suon-cha.png,"Cơm Tấm Sườn Chả Cơm tấm sườn chả đậm đà Món này được phục vụ tại quán Cơm Tấm Bà Sáu địa chỉ 89 Hoàng Văn Thụ, Quận Liên Chiểu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905678901. Cơm tấm Cơm Tấm Bà Sáu Việt Nam Cơm tấm"
57,Cơm Tấm Sườn Nướng,com-tam-suon-nuong,https://cdn.tgdd.vn/Files/2021/08/09/1373996/tu-lam-com-tam-suon-trung-don-gian-thom-ngon-nhu-ngoai-hang-202201071248422991.jpg,Cơm Tấm Bà Sáu,Việt Nam,2025,Cơm tấm,"Cơm tấm sườn nướng than Món này được phục vụ tại quán Cơm Tấm Bà Sáu địa chỉ 89 Hoàng Văn Thụ, Quận Liên Chiểu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905678901.",Cơm tấm,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2021/08/09/1373996/tu-lam-com-tam-suon-trung-don-gian-thom-ngon-nhu-ngoai-hang-202201071248422991.jpg,"Cơm Tấm Sườn Nướng Cơm tấm sườn nướng than Món này được phục vụ tại quán Cơm Tấm Bà Sáu địa chỉ 89 Hoàng Văn Thụ, Quận Liên Chiểu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905678901. Cơm tấm Cơm Tấm Bà Sáu Việt Nam Cơm tấm"
58,Cơm Tấm Sườn Trứng,com-tam-suon-trung,https://lamsonfood.com/wp-content/uploads/2022/02/com-tam-duoc-nhieu-nguoi-yeu-thich.jpg,Cơm Tấm Bà Sáu,Việt Nam,2025,Cơm tấm,"Cơm tấm sườn ốp la Món này được phục vụ tại quán Cơm Tấm Bà Sáu địa chỉ 89 Hoàng Văn Thụ, Quận Liên Chiểu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905678901.",Cơm tấm,http://localhost:5173/images/foods/https://lamsonfood.com/wp-content/uploads/2022/02/com-tam-duoc-nhieu-nguoi-yeu-thich.jpg,"Cơm Tấm Sườn Trứng Cơm tấm sườn ốp la Món này được phục vụ tại quán Cơm Tấm Bà Sáu địa chỉ 89 Hoàng Văn Thụ, Quận Liên Chiểu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905678901. Cơm tấm Cơm Tấm Bà Sáu Việt Nam Cơm tấm"
59,Cơm Tấm Chả,com-tam-cha,https://cdn.tgdd.vn/2021/07/CookProduct/0-1200x676-14.jpg,Cơm Tấm Bà Sáu,Việt Nam,2025,Cơm tấm,"Cơm tấm chả trứng béo ngậy Món này được phục vụ tại quán Cơm Tấm Bà Sáu địa chỉ 89 Hoàng Văn Thụ, Quận Liên Chiểu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905678901.",Cơm tấm,http://localhost:5173/images/foods/https://cdn.tgdd.vn/2021/07/CookProduct/0-1200x676-14.jpg,"Cơm Tấm Chả Cơm tấm chả trứng béo ngậy Món này được phục vụ tại quán Cơm Tấm Bà Sáu địa chỉ 89 Hoàng Văn Thụ, Quận Liên Chiểu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905678901. Cơm tấm Cơm Tấm Bà Sáu Việt Nam Cơm tấm"
